No.,Store,Category,Brand,Character,Product Name,OY link,Description,Image,Price 1 (HKD),Price 1 Date,Price 2 Date,Price 2 (HKD),Detail Image,Fetured,Generate_IG
oy002,Olive ,COSMETICS,2AN,,Heart Wearing Liquid Cheek,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237678&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=2an&t_number=7&dispCatNo=1000001000200010006&trackingCd=Result_7,,https://img.ssgdfs.com/upload/C00001/goos/org/921/260122001025921.jpg?SF=webp&AR=0,85,5/9,30/9,120,"details/C00301.jpg,details/C00302.jpg,details/C00303.jpg,details/C00304.jpg,details/C00305.jpg,details/C00306.jpg,details/C00307.jpg,details/C00308.jpg,details/C00309.jpg,details/C00310.jpg,details/C00311.jpg,details/C00312.jpg,details/C00313.jpg,details/C00314.jpg,details/C00315.jpg,details/C00316.jpg,details/C00317.jpg,details/C00318.jpg,details/C00319.jpg,details/C00320.jpg,details/C00321.jpg,details/C00322.jpg,details/C00323.jpg,details/C00324.jpg,details/C00325.jpg,details/C00326.jpg,details/C00327.jpg,details/C00328.jpg,details/C00329.jpg,details/C00330.jpg,details/C00331.jpg,details/C00332.jpg,details/C00333.jpg,details/C00334.jpg,details/C00335.jpg,details/C00336.jpg,details/C00337.jpg,details/C00338.jpg,details/C00339.jpg,details/C00340.jpg,details/C00341.jpg,details/C00342.jpg,details/C00343.jpg,details/C00344.jpg,details/C00345.jpg,details/C00346.jpg,details/C00347.jpg,details/C00348.jpg,details/C00349.jpg,details/C00350.jpg",,Y
oy003,Olive ,COSMETICS,2AN,,Pure Glassy Highlighter,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206084&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=2an&t_number=2&dispCatNo=1000001000200010008&trackingCd=Result_2,,https://img.ssgdfs.com/upload/C00001/goos/org/885/240626000563885.jpg?SF=webp&AR=0,88,5/9,30/9,98,"details/C00401.jpg,details/C00402.jpg,details/C00403.jpg,details/C00404.jpg,details/C00405.jpg,details/C00406.jpg,details/C00407.jpg,details/C00408.jpg,details/C00409.jpg,details/C00410.jpg,details/C00411.jpg,details/C00412.jpg,details/C00413.jpg,details/C00414.jpg,details/C00415.jpg,details/C00416.jpg,details/C00417.jpg,details/C00418.jpg,details/C00419.jpg,details/C00420.jpg,details/C00421.jpg,details/C00422.jpg,details/C00423.jpg,details/C00424.jpg,details/C00425.jpg,details/C00426.jpg,details/C00427.jpg,details/C00428.jpg,details/C00429.jpg,details/C00430.jpg,details/C00431.jpg,details/C00432.jpg,details/C00433.jpg,details/C00434.jpg,details/C00435.jpg,details/C00436.jpg,details/C00437.jpg,details/C00438.jpg,details/C00439.jpg,details/C00440.jpg,details/C00441.jpg,details/C00442.jpg,details/C00443.jpg,details/C00444.jpg,details/C00445.jpg,details/C00446.jpg,details/C00447.jpg,details/C00448.jpg,details/C00449.jpg,details/C00450.jpg",,
oy004,Olive ,COSMETICS,2AN,Cinamoroll,Dual Cheek 22 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181230&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=2an&t_number=4&dispCatNo=1000001000200010006&trackingCd=Result_4,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A000000181230115ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,120,5/9,30/11,145,"details2/oy00401.png,details2/oy00402.png,details2/oy00403.png,details2/oy00404.png,details2/oy00405.png,details2/oy00406.png,details2/oy00407.png,details2/oy00408.png,details2/oy00409.png,details2/oy00410.png,details2/oy00411.png,details2/oy00412.png,details2/oy00413.png,details2/oy00414.png,details2/oy00415.png,details2/oy00416.png,details2/oy00417.png,details2/oy00418.png,details2/oy00419.png,details2/oy00420.png,details2/oy00421.png,details2/oy00422.png,details2/oy00423.png,details2/oy00424.png,details2/oy00425.png,details2/oy00426.png,details2/oy00427.png,details2/oy00428.png,details2/oy00429.png,details2/oy00430.png,details2/oy00431.png,details2/oy00432.png,details2/oy00433.png,details2/oy00434.png,details2/oy00435.png,details2/oy00436.png,details2/oy00437.png,details2/oy00438.png,details2/oy00439.png,details2/oy00440.png,details2/oy00441.png,details2/oy00442.png,details2/oy00443.png,details2/oy00444.png,details2/oy00445.png,details2/oy00446.png,details2/oy00447.png,details2/oy00448.png,details2/oy00449.png,details2/oy00450.png",y,y
oy008,Olive ,COSMETICS,AMUSE,,[ICE BLUE LIMITED EDITION] AIRY PORE COVER CUSHION (+REFILL & Priming Balm),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229396&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=3&dispCatNo=1000001000200010009&trackingCd=Result_3,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022939669ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,220,5/9,30/9,230,"details/oy00801.jpg,details/oy00802.jpg,details/oy00803.jpg,details/oy00804.gif,details/oy00805.jpg,details/oy00806.jpg,details/oy00807.gif,details/oy00808.jpg,details/oy00809.gif,details/oy00810.jpg,details/oy00811.gif,details/oy00812.jpg,details/oy00813.gif,details/oy00814.jpg,details/oy00815.gif,details/oy00816.jpg,details/oy00817.jpg,details/oy00818.jpg,details/oy00819.jpg,details/oy00820.jpg,details/oy00821.jpg,details/oy00822.jpg,details/oy00823.jpg,details/oy00824.jpg,details/oy00825.jpg,details/oy00826.jpg,details/oy00827.jpg,details/oy00828.jpg,details/oy00829.jpg,details/oy00830.jpg,details/oy00831.jpg,details/oy00832.jpg,details/oy00833.jpg,details/oy00834.jpg,details/oy00835.jpg,details/oy00836.jpg,details/oy00837.jpg,details/oy00838.jpg,details/oy00839.jpg,details/oy00840.jpg,details/oy00841.jpg,details/oy00842.jpg,details/oy00843.jpg,details/oy00844.jpg,details/oy00845.jpg,details/oy00846.jpg,details/oy00847.jpg,details/oy00848.jpg,details/oy00849.jpg,details/oy00850.jpg",Y,Y
oy010,Olive ,COSMETICS,AMUSE,,DEW JELLY MASTER CUSHION REFILL SET,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161728&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=2&dispCatNo=1000001000200010009&trackingCd=Result_2,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016172895ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,228,5/9,30/9,240,"details/C01101.jpg,details/C01102.gif,details/C01103.gif,details/C01104.jpg,details/C01105.gif,details/C01106.jpg,details/C01107.jpg,details/C01108.gif,details/C01109.jpg,details/C01110.gif,details/C01111.jpg,details/C01112.gif,details/C01113.jpg,details/C01114.gif,details/C01115.jpg,details/C01116.jpg,details/C01117.jpg,details/C01118.jpg,details/C01119.jpg,details/C01120.jpg,details/C01121.jpg,details/C01122.jpg,details/C01123.jpg,details/C01124.jpg,details/C01125.jpg,details/C01126.jpg,details/C01127.jpg,details/C01128.jpg,details/C01129.jpg,details/C01130.jpg,details/C01131.jpg,details/C01132.jpg,details/C01133.jpg,details/C01134.jpg,details/C01135.jpg,details/C01136.jpg,details/C01137.jpg,details/C01138.jpg,details/C01139.jpg,details/C01140.jpg,details/C01141.jpg,details/C01142.jpg,details/C01143.jpg,details/C01144.jpg,details/C01145.jpg,details/C01146.jpg,details/C01147.jpg,details/C01148.jpg,details/C01149.jpg,details/C01150.jpg",,
oy011,Olive ,COSMETICS,AMUSE,,[MONCHHICHI LIMITED EDITION] QUICK MAKEUP MINI GACHA SET,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250339&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=16&dispCatNo=1000001000200060003&trackingCd=Result_11_30,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025033952ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,175,5/9,30/9,185,"https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331175412044e3333f219df042688974252aa094a8d4.jpg,https://static.lottedfs.com/contents/images/ckeditor-img/20260331/202603311754224646ae5919299e946b1b3b83c63dceb2a4b.jpg",,
oy012,Olive ,COSMETICS,AMUSE,,DEW POWER VEGAN CUSHION REFILL SET,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180080&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=4&dispCatNo=1000001000200010009&trackingCd=Result_4,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018008055ko.png?l=ko&QT=100&SF=webp&sharpen=1x0.5,228,5/9,30/9,240,http://image1.shilladfs.com/descgoods/2025/11/24/20251124_155411071_45624.jpg,Y,Y
oy014,Olive ,COSMETICS,AMUSE,,CERAMIC SKIN PERFECTOR CUSHION (+REFILL & MINI BLUSHER),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200357&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=5&dispCatNo=1000001000200010009&trackingCd=Result_5,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A000000200357161ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,220,5/9,31/10,230,"https://static.lottedfs.com/contents/images/ckeditor-img/20260331/202603311712385004a0c9ecac96e4b589096fc4db3225049.jpg,https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331171252550c66758e8589142198949e3a9e97c1fc1.jpg",Y,Y
oy015,Olive ,COSMETICS,AMUSE,,[N21 Edition] JEL-FIT TINT  12 COLORS ???,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179233&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=7&dispCatNo=1000001000200060003&trackingCd=Result_7,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A000000179233114ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,135,5/9,30/9,140,"details2/oy01501.png,details2/oy01502.png,details2/oy01503.png,details2/oy01504.png,details2/oy01505.png,details2/oy01506.png,details2/oy01507.png,details2/oy01508.png,details2/oy01509.png,details2/oy01510.png,details2/oy01511.png,details2/oy01512.png,details2/oy01513.png,details2/oy01514.png,details2/oy01515.png,details2/oy01516.png,details2/oy01517.png,details2/oy01518.png,details2/oy01519.png,details2/oy01520.png,details2/oy01521.png,details2/oy01522.png,details2/oy01523.png,details2/oy01524.png,details2/oy01525.png,details2/oy01526.png,details2/oy01527.png,details2/oy01528.png,details2/oy01529.png,details2/oy01530.png,details2/oy01531.png,details2/oy01532.png,details2/oy01533.png,details2/oy01534.png,details2/oy01535.png,details2/oy01536.png,details2/oy01537.png,details2/oy01538.png,details2/oy01539.png,details2/oy01540.png,details2/oy01541.png,details2/oy01542.png,details2/oy01543.png,details2/oy01544.png,details2/oy01545.png,details2/oy01546.png,details2/oy01547.png,details2/oy01548.png,details2/oy01549.png,details2/oy01550.png",Y,Y
oy016,Olive ,COSMETICS,AMUSE,,[N21 Edition] JEL FIT GLOSS ??,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238658&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=amuse&t_number=10&dispCatNo=1000001000200060002&trackingCd=Result_10,,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A000000238658105ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5,135,5/9,30/9,140,"details2/oy01601.png,details2/oy01602.png,details2/oy01603.png,details2/oy01604.png,details2/oy01605.png,details2/oy01606.png,details2/oy01607.png,details2/oy01608.png,details2/oy01609.png,details2/oy01610.png,details2/oy01611.png,details2/oy01612.png,details2/oy01613.png,details2/oy01614.png,details2/oy01615.png,details2/oy01616.png,details2/oy01617.png,details2/oy01618.png,details2/oy01619.png,details2/oy01620.png,details2/oy01621.png,details2/oy01622.png,details2/oy01623.png,details2/oy01624.png,details2/oy01625.png,details2/oy01626.png,details2/oy01627.png,details2/oy01628.png,details2/oy01629.png,details2/oy01630.png,details2/oy01631.png,details2/oy01632.png,details2/oy01633.png,details2/oy01634.png,details2/oy01635.png,details2/oy01636.png,details2/oy01637.png,details2/oy01638.png,details2/oy01639.png,details2/oy01640.png,details2/oy01641.png,details2/oy01642.png,details2/oy01643.png,details2/oy01644.png,details2/oy01645.png,details2/oy01646.png,details2/oy01647.png,details2/oy01648.png,details2/oy01649.png,details2/oy01650.png",Y,Y
